POINT_X,POINT_Y,PM25_INDDD,PM10_INDDD,NOx_INDDD,SO2_INDDD,CO_INDDD,VOC_INDDD
77.09,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.09,28.69,14.74,26.27,59.43,236.5,7.725797101,0.0
77.1,28.69,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.1,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.16,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.16,28.69,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.17,28.69,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.18,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.19,28.69,34.38,61.3,138.6,551.8,18.03,0.0
77.08,28.7,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.09,28.7,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.16,28.7,83.51,148.9,336.8,1340.0,43.78,0.0
77.16,28.7,206.3,367.8,832.0,3311.0,108.1,0.0
77.17,28.7,284.9,508.0,1149.0,4572.0,149.3,0.0
77.17,28.7,34.38,61.3,138.6,551.8,18.03,0.0
77.19,28.7,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.21,28.7,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.32,28.7,24.56,43.78,99.03,394.1,12.88,0.0
77.13,28.7,14.74,26.27,59.43,236.5,7.725797101,0.0
77.16,28.7,34.38,61.3,138.6,551.8,18.03,0.0
77.17,28.7,58.95,105.1,237.8,946.0,30.91,0.0
77.17,28.7,88.4,157.7,356.6,1419.0,46.36,0.0
77.17,28.7,73.68,131.3,297.2,1182.0,38.63,0.0
77.18,28.7,24.56,43.78,99.03,394.1,12.88,0.0
77.17,28.71,19.65,35.03,79.24,315.3,10.3,0.0
77.17,28.71,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.17,28.71,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.17,28.71,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.1,28.72,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.16,28.72,58.95,105.1,237.8,946.0,30.91,0.0
77.0,28.73,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.16,28.73,44.21,78.82,178.3,709.4,23.18,0.0
77.16,28.73,39.3,70.06,158.4,630.6,20.6,0.0
77.16,28.73,39.3,70.06,158.4,630.6,20.6,0.0
77.25,28.73,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.13,28.75,363.5,648.0,1466.0,5834.0,190.6,0.0
77.13,28.75,270.1,481.7,1090.0,4336.0,141.6,0.0
77.05,28.78,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.78,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.06,28.78,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.78,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.05,28.78,19.65,35.03,79.24,315.3,10.3,0.0
77.05,28.78,24.56,43.78,99.03,394.1,12.88,0.0
77.06,28.78,14.74,26.27,59.43,236.5,7.725797101,0.0
77.04,28.79,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.79,29.47,52.55,118.8,472.9,15.45,0.0
77.05,28.79,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.05,28.79,34.38,61.3,138.6,551.8,18.03,0.0
77.06,28.79,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.04,28.79,14.74,26.27,59.43,236.5,7.725797101,0.0
77.05,28.79,14.74,26.27,59.43,236.5,7.725797101,0.0
77.05,28.79,19.65,35.03,79.24,315.3,10.3,0.0
77.05,28.79,19.65,35.03,79.24,315.3,10.3,0.0
77.06,28.79,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.06,28.79,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.04,28.79,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.05,28.79,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.79,14.74,26.27,59.43,236.5,7.725797101,0.0
77.05,28.79,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.06,28.79,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.8,14.74,26.27,59.43,236.5,7.725797101,0.0
77.05,28.8,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.8,24.56,43.78,99.03,394.1,12.88,0.0
77.08,28.8,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.08,28.8,19.65,35.03,79.24,315.3,10.3,0.0
77.05,28.8,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.07,28.8,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.08,28.8,14.74,26.27,59.43,236.5,7.725797101,0.0
77.08,28.81,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.11,28.82,14.74,26.27,59.43,236.5,7.725797101,0.0
77.11,28.82,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.11,28.83,14.74,26.27,59.43,236.5,7.725797101,0.0
77.1,28.83,19.65,35.03,79.24,315.3,10.3,0.0
77.1,28.83,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.11,28.83,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.1,28.83,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.31,28.31,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.31,28.31,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.31,28.31,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.3,28.31,14.69,27.35,63.73,252.8,6.999203964,0.0
77.31,28.31,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.31,28.31,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.32,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.3,28.32,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.31,28.32,19.59,36.47,85.01,337.1,9.332476832,0.0
77.31,28.32,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.31,28.33,29.38,54.7,127.4,505.7,13.99,0.0
77.31,28.33,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.33,28.33,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.31,28.33,24.49,45.58,106.2,421.4,11.67,0.0
77.33,28.33,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.91,28.33,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.33,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.33,28.33,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.3,28.34,14.69,27.35,63.73,252.8,6.999203964,0.0
77.31,28.34,14.69,27.35,63.73,252.8,6.999203964,0.0
77.31,28.34,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.33,28.34,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.31,28.34,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.32,28.34,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.35,14.69,27.35,63.73,252.8,6.999203964,0.0
77.31,28.35,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.31,28.35,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.35,14.69,27.35,63.73,252.8,6.999203964,0.0
77.31,28.35,29.38,54.7,127.4,505.7,13.99,0.0
77.31,28.35,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.32,28.35,14.69,27.35,63.73,252.8,6.999203964,0.0
77.21,28.35,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.35,19.59,36.47,85.01,337.1,9.332476832,0.0
77.31,28.35,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.31,28.35,29.38,54.7,127.4,505.7,13.99,0.0
77.32,28.35,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.32,28.35,53.87,100.3,233.7,927.4,25.66,0.0
77.33,28.35,9.794305349,18.24,42.49,168.6,4.666135976,0.0
76.93,28.36,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.36,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.31,28.36,39.18,72.93,169.9,674.3,18.66,0.0
77.31,28.36,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.31,28.36,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.32,28.36,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.32,28.36,19.59,36.47,85.01,337.1,9.332476832,0.0
76.89,28.36,9.794305349,18.24,42.49,168.6,4.666135976,0.0
76.91,28.36,9.794305349,18.24,42.49,168.6,4.666135976,0.0
76.91,28.36,9.794305349,18.24,42.49,168.6,4.666135976,0.0
76.91,28.36,24.49,45.58,106.2,421.4,11.67,0.0
76.92,28.36,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.92,28.36,19.59,36.47,85.01,337.1,9.332476832,0.0
76.93,28.36,9.794305349,18.24,42.49,168.6,4.666135976,0.0
76.93,28.36,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.29,28.36,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.29,28.36,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.36,19.59,36.47,85.01,337.1,9.332476832,0.0
77.31,28.36,24.49,45.58,106.2,421.4,11.67,0.0
77.32,28.36,19.59,36.47,85.01,337.1,9.332476832,0.0
76.91,28.37,9.794305349,18.24,42.49,168.6,4.666135976,0.0
76.92,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.93,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.93,28.37,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.3,28.37,14.69,27.35,63.73,252.8,6.999203964,0.0
77.3,28.37,29.38,54.7,127.4,505.7,13.99,0.0
77.32,28.37,14.69,27.35,63.73,252.8,6.999203964,0.0
77.32,28.37,29.38,54.7,127.4,505.7,13.99,0.0
76.89,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.9,28.37,9.794305349,18.24,42.49,168.6,4.666135976,0.0
76.92,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.29,28.37,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.3,28.37,39.18,72.93,169.9,674.3,18.66,0.0
77.3,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.31,28.37,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.31,28.37,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.32,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.91,28.37,19.59,36.47,85.01,337.1,9.332476832,0.0
76.92,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.93,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.95,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.96,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.29,28.37,39.18,72.93,169.9,674.3,18.66,0.0
77.29,28.37,29.38,54.7,127.4,505.7,13.99,0.0
77.3,28.37,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.37,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.31,28.37,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.33,28.37,9.794305349,18.24,42.49,168.6,4.666135976,0.0
76.89,28.38,24.49,45.58,106.2,421.4,11.67,0.0
76.9,28.38,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.92,28.38,14.69,27.35,63.73,252.8,6.999203964,0.0
77.3,28.38,24.49,45.58,106.2,421.4,11.67,0.0
77.31,28.38,14.69,27.35,63.73,252.8,6.999203964,0.0
77.31,28.38,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.31,28.38,14.69,27.35,63.73,252.8,6.999203964,0.0
77.3,28.38,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.38,29.38,54.7,127.4,505.7,13.99,0.0
77.31,28.38,14.69,27.35,63.73,252.8,6.999203964,0.0
77.32,28.38,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.32,28.38,24.49,45.58,106.2,421.4,11.67,0.0
77.28,28.39,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.31,28.39,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.33,28.39,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.39,9.794305349,18.24,42.49,168.6,4.666135976,0.0
77.31,28.39,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.32,28.39,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
76.98,28.39,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.3,28.39,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.31,28.4,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
77.33,28.4,4.896964872,9.114264577,21.24,84.25,2.333067988,0.0
